,A4,A5,A6,A9,A9_2_TEXT,B2,B5,B6,B6_8_TEXT,B8,B9,B9_9_TEXT,B10,B11,B11_1_TEXT,B12,B13,B14,B15,B15_1_TEXT,B16,B17,B17_1_TEXT,B18,C1,C2,C3,C4,C5,C6,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D11_1_TEXT,D11_2_TEXT,D11_3_TEXT,D12,D13,D14_NPS_GROUP,D14,D15,E1,E2,E3,E3_6_TEXT,E4_NPS_GROUP,E4,E5,E6,E7,E8,E9,F1,F2,F3,F4,F5,F6,F7,F7_1_TEXT,F8,F8_1_TEXT,B3_B4_Combined,Distribution,Logistics/ Transport,Production,Aggregation (group buying for reselling),Processing,Agri-Services - Inputs supply,B13_Combined,D3_Combined
0,Single,University,1984,Côte d'Ivoire,,Other,,Between 6 months and a year ,,Production de manioc,Abidjan ,,No,No,,Local Markets ,Less than 1 million,Cassava,No,,membre,Non,,Registre de commerce,,,Les transformateurs de manioc ,No,Location et aide familiale ,Problème de transport ,"Agri Cash (liquidities),Operational loan (working capital) ",Between 1 and 5 millions,February ,Between 3 months and a year,Every month,Logistics,No,,,,,,,Yes,COOPEC ,Detractor,6,Légale et sécurisée ,Yes for personal and business expenditures,Daily,"Transfer money,Pay bills,Pay employees ,Other :",,Passive,8,Je pense qu'il sont aussi sécurisé et on a la possibilité de vérifier à tout moment ,No,"Technical assistance, Coaching, Mentoring",Connaitre son cycle d’activité agricole pour un crédit au moment opportun,No,Yes,51-60%,51-60%,No,,"Yes, explain",,,,,,0,0,1,0,0,0,,
1,Married,Professional training ,29/12/1970,"Other, specify",France ,Family-Led SME,,Between 6 months and a year ,,ÉLÉMENTERRE-CI est une entreprise familiale et dispose de 15 hectares. ÉLÉMENTERRE-CI cultivé s'est inscrite dans la production de manioc. Elle transformera une partie de sa production. 5 hectares sont déjà plantés,"Other, specify",Nous voulons vendre dans toute la Côte-d'Ivoire et dans d'autres pays ,No,No,,"Local Markets ,Regional Markets ,International Markets",Between 25 and 50 millions,Cassava,,,responsable,Non,,Registre de commerce,FPTM-CI (Fédération des Producteurs Transformateurs de Manioc Côte-d'Ivoire ,Je n'ai pas de fournisseur. Je produis du manioc pour vendre et transformer ,"Industriels, comme NdiNdia Industry,des coopératives, des professionnels qui transforment en attiéké ou placali, des coopératives ",No,Je compte acquérir des véhicules (deux camionnettes et une moto) ,"Comme toute entreprise qui démarre son activité, le manque de financements est un frein. Un fond de roulement permettrait de mieux s'organiser pour fonctionner ","Agri - Transport (financing for vehicle),Agri - Equipment (financing for equipment),Operational loan (working capital) ,Leasing (equipment, transport/logistics) ,Product financing (fertilizers, seeds, pesticides),Trade finance for export ,Insurance",Between 5 and 25 millions,January ,More than 3 years,Every trimester,Labor ,No,,,,,,,Yes,Cofina ,Passive,8,Ma Banque( Cofina Banque) accompagne les PME et nos échanges me permettent de lui faire confiance ,Yes for personal expenditures,Daily,Transfer money,,Detractor,5,Je fais attention aux dis fonctionnements,,"Technical partnerships, Access to markets, Access to new buyers",Connaitre son cycle d’activité agricole pour un crédit au moment opportun,No,No,10-20%,10-20%,No,10-20%,"Yes, explain","Yes, explain",Notre activité comble le manque de produits sur le marché local. Les femmes commerçantes d'attiéké peuvent se procurer régulièrement du manioc grâce à ÉlémenTerre-CI ,"Yes, explain",Nous avons 10 hectares de terres pour produire sur de longues années ,8.0,1,0,1,0,1,0,,
2,Single,University,1978,Côte d'Ivoire,,Other,1.0,Less than 3 months ,,"Production de cultures de rentes café et cacao, transformation, production de produits vivriers et transformation, production et transformation de manioc","Other, specify",Man dans le Tonkpi,Yes,No,,"Local Markets ,International Markets",Less than 1 million,Cassava,"Yes, specify",cacao,responsable,Non,,Aucun document,Aucune,Singa coop,Rituel Café et particuliers,No,Par cars de transport et transports en commun,"Accessibilité de la voie, problème de transport, packaging, machines pour la transformation","Agri Cash (liquidities),Agri - Equipment (financing for equipment),Operational loan (working capital) ",Between 5 and 25 millions,March ,More than 3 years,Every month,Charges ,No,,,,,,,Yes,SIB,Detractor,5,Mitigé dans la mesure où les structures n'accompagnent pas vraiment. Manque de disponibilité et réactivité,Yes for personal and business expenditures,Monthly ,"Transfer money,Pay bills,Pay employees ,Pay producers/ farmers,Pay business suppliers",,Promoter,10,"Réactivité, accessibilité, facilité",No,"Technical partnerships, Access to markets, Access to new buyers",Constitution d’un dossier agricole,No,Yes,71-80%,51-60%,Yes,31-40%,No,"Yes, explain","Elle achète au prix juste , accompagne certains producteurs","Yes, explain",Nous reutilisons les déchets issus de notre activité,,0,0,1,0,1,0,800000.0,
3,Married,University,1991,Côte d'Ivoire,,Women’s association ,28.0,"More than 3, specify",5.0,"Achat manioc, tensformation en attiéké",Yamoussoukro ,,No,No,,Local Markets ,Less than 1 million,Cassava,"Yes, specify",manioc,directrice,Oui,Societe Cooperative,Statuts et règlements intérieurs,NEANT,les producteurs individuels,"Les vendeuses attiéké, les restaurants",Yes,"Les trycycles
Les personnes signalent que le manioc est prêt et on leur demande de détererrer pour envoyer","Mauvais payeur
penurie de matières premières",Operational loan (working capital) ,Between 1 and 5 millions,"January ,February ,March ",Between one and 3 years ,Every trimester,Logistics,No,,,,,,,Yes,COOPEC ,Passive,7,Je fais pas confiance aux institutions de par la pression de recouvrement,Yes for personal and business expenditures,Daily,"Transfer money,Pay bills,Pay business suppliers",,Passive,8,Je fais confiance car la facilité de manipulation,No,"Technical partnerships, Access to markets, Access to new buyers",Connaitre son cycle d’activité agricole pour un crédit au moment opportun,Yes,Yes,More than 90%,Less than 10%,No,More than 90%,"Yes, explain","Yes, explain",Elle accorde de l'attiéké à la cantine scolaire,"Yes, explain",L'entreprise compte diversifier ses marchés,28.0,0,0,0,0,1,0,700000.0,5000000.0
4,Single,University,17/12/1982,Côte d'Ivoire,,Women-Led SME,5.0,Less than 3 months ,,"Production et transformation de vivriers , restauration",Abidjan ,,No,No,,Local Markets ,Between 1 and 5 millions,Cassava,"Yes, specify",vivrier,coopérant,Oui,SARL,Registre de commerce,FPTM,"Les grossistes de vivriers 
Nous achetons des vivres frais ","Les cantines scolaires, ",No,La location de bâcher ou tricycle ,Problème de financement et manque de moyens logistiques,Operational loan (working capital) ,Between 1 and 5 millions,"February ,March ",Less than a month,Every trimester,Charges ,No,,,,,,,Yes,BICICI,Passive,8,Plus crédibles et sûres,Yes for personal and business expenditures,Weekly ,Pay bills,,Passive,8,Rapide et flexible,,"Technical assistance, Coaching, Mentoring",Epargne et bancarisation agricole ,No,Yes,71-80%,71-80%,No,51-60%,"Yes, explain","Yes, explain",Création d'emplois et de richesse,"Yes, explain",Nous produisons du manioc chaque année sur des parcelles différentes,6.0,1,0,0,0,0,0,,
5,Married,University,1982,Côte d'Ivoire,,Family-Led SME,,Between 6 months and a year ,,ÉlémenTerre-CI est une entreprise familiale que je codirige avec mon frère. Elle s'étend sur 15 hectares. Nous cultivons du manioc ,Divo,,No,No,,"Local Markets ,Regional Markets ,International Markets",Between 5 and 25 millions,Cassava,No,,directrice,Non,,Registre de commerce,FPTM-CI ,Nous  sommes au début de notre activité; nous n'avons pas encore de fournisseur fournisseur,"NdiNdia Industry, des commerçants d'attiéké, des coopératives, des industries ",No,Nous comptons acquérir des véhicules ( au moins 2.camionnettes et 1 moto) ,Nous sommes au début de notre activité et nous devons faire face au manque de financements ,"Agri - Transport (financing for vehicle),Agri - Equipment (financing for equipment),Operational loan (working capital) ,Insurance",Between 5 and 25 millions,January ,More than 3 years,Every trimester,Labor ,No,,,,,,,Yes,COOPEC ,Passive,8,Je n'ai jamais eu de problème avec ma banque ,Yes for personal and business expenditures,Daily,"Transfer money,Pay bills",,Passive,8,,No,"Technical assistance, Coaching, Mentoring",Connaitre son cycle d’activité agricole pour un crédit au moment opportun,No,Yes,<10%,Less than 10%,No,Less than 10%,"Yes, explain","Yes, explain",Le fait que nous produisons du manioc en grande quantité leur permet de s'approvionner plus facilement  et de façon régulière. ,"Yes, explain","Nous avons 15 hectares de terres, ce qui nous permettra de produire pendant de longues années ",8.0,0,0,1,0,1,0,,
6,Single,University,1991,Côte d'Ivoire,,Other,5.0,"1,5",,Transformation du manioc en produits dérives de,Abidjan ,,No,No,,Local Markets ,Less than 1 million,Cassava,No,,directeur,Oui,SARL,Registre de commerce,Aucun,,Femme,No,Bâché,Le transport,"Leasing (equipment, transport/logistics) ",Between 1 and 5 millions,January ,Between 1 and 3 months,Every month,Logistics,No,,,,,,,No,,Detractor,2,Lorsque le projet est bancable il est financé,Yes for personal and business expenditures,Daily,"Pay employees ,Pay producers/ farmers,Other :",,Passive,7,Rapide et fiable,,"Technical partnerships, Access to markets, Access to new buyers",Connaitre son cycle d’activité agricole pour un crédit au moment opportun,No,No,41-50%,21-30%,No,10-20%,No,No,,No,,,0,0,0,0,1,0,,
7,Widowed,Primary,1965,Côte d'Ivoire,,Women’s association ,45.0,"More than 3, specify",4.0,Production  de manioc frais et transformation en placali (pour la vente),"Other, specify","TABOU (Gnato village, et village voisin)",No,No,,Local Markets ,Less than 1 million,Cassava,"Yes, specify",obergine,présidente,Oui,,Autres,,45 femmes de l'association,"Revendeuse du maché local, transformateur d'attiéké ou de placali",No,lacation de véhicule,"Route dégradé, manque de véhicule et d'espace pour planter du manioc","Agri Cash (liquidities),Agri - Transport (financing for vehicle),Agri - Equipment (financing for equipment),Operational loan (working capital) ",Less than 1 million,"January ,February ,March ",Between one and 3 years ,Every semester,Logistics,No,,,,,,,No,,Passive,8,La sécurité de l'argent,Yes for personal expenditures,Once in a year,Transfer money,,Passive,8,"Transaction facile, pas besoin de se déplacer",BABOULEGBO,"Technical assistance, Coaching, Mentoring",Connaitre son cycle d’activité agricole pour un crédit au moment opportun,Yes,Yes,More than 90%,More than 90%,No,More than 90%,No,"Yes, explain",Aider les femmes et la population a se nourrir,"Yes, explain",,,0,0,1,0,1,0,250000.0,1000000.0
8,Single,University,1987,Côte d'Ivoire,,Women-Led SME,5.0,2,,Production et transformation de Manioc en placali et attieke ,"Other, specify",Akoupe ,No,No,,"Local Markets ,Regional Markets ",Between 1 and 5 millions,Cassava,No,,directeur,Non,,Aucun document,FPTMCI,Anader,Les grossistes ,No,Location ,"Problème de voirie pour faire sortir la production, manque de marché pour écouler la production ",Operational loan (working capital) ,Between 1 and 5 millions,August,Between one and 3 years ,Every semester,Charges ,No,,,,,,,No,,Passive,8,Ils prennent toutes les garanties pour le suivie et l'encadrement de nos projets ,Yes for personal and business expenditures,Daily,Transfer money,,Passive,8,"C'est fiable, rapide et sécurisé ",,"Technical partnerships, Access to markets, Access to new buyers",Comment bien rembourser son crédit,No,Yes,81-90%,81-90%,No,81-90%,"Yes, explain","Yes, explain",Elle permet à la communauté de pouvoir s'alimenter et d'avoir des revenus ,No,,10.0,0,0,1,0,1,0,,
9,Married,High School ,05/08/1972,Côte d'Ivoire,,Women-Led SME,8.0,2,,Production et transformation du manioc en attiéké,"Other, specify",Akoupé,No,No,,"Local Markets ,Regional Markets ",Between 1 and 5 millions,Cassava,No,,directeur,Non,,Aucun document,FPTMCI,ANADER pour l'acquisition de boutures,Grossistes,No,Location de véhicules,Problème de routes pour faire sortir le produit et de commercialisation,Agri Cash (liquidities),Between 1 and 5 millions,August,Between one and 3 years ,Every semester,Charges ,No,,,,,,,No,,Passive,8,Pour le suivi des projets,Yes for personal and business expenditures,Daily,Transfer money,,Promoter,9,"Je fais confiance, parce-que les services mobiles money sont sécurisés et rapides",,"Technical partnerships, Access to markets, Access to new buyers",Comment bien rembourser son crédit,No,Yes,71-80%,71-80%,No,81-90%,"Yes, explain","Yes, explain",Donne de l'emploi et permet aux différents membres de subvenir aux besoins de leur famille,No,,8.0,0,0,1,0,1,0,,
